aX,aY,aZ,gX,gY,gZ
-0.601,2.818,1.547,-146.240,132.996,-172.485
-0.767,2.858,1.924,-133.789,108.948,-132.080
-0.887,2.767,2.114,-111.572,62.439,-80.933
-0.824,2.424,2.015,-69.336,9.766,-23.132
-0.552,1.969,1.619,-8.667,-27.100,39.001
-0.221,1.561,1.302,50.903,-37.354,87.158
0.080,1.147,1.009,102.600,-36.804,115.051
0.322,0.838,0.742,133.545,-20.203,122.131
0.485,0.563,0.550,151.794,-1.282,113.159
0.539,0.282,0.393,158.997,2.075,100.586
0.522,0.047,0.262,148.926,-4.822,90.210
0.501,-0.128,0.160,124.634,-12.756,81.665
0.488,-0.220,0.132,90.454,-18.860,68.420
0.439,-0.206,0.167,50.354,-21.729,50.049
0.312,-0.030,0.290,11.597,-16.602,27.100
0.264,0.184,0.376,-18.982,-0.366,1.587
0.102,0.537,0.602,-41.321,12.756,-19.043
-0.052,0.888,0.824,-54.932,21.362,-25.635
-0.091,1.096,0.975,-50.720,33.508,-21.118
-0.112,1.094,1.035,-31.006,34.790,-5.981
-0.063,1.026,1.023,-11.597,24.353,12.512
0.018,0.956,0.963,0.732,10.803,29.236
0.076,0.896,0.891,4.761,2.258,38.818
0.138,0.845,0.871,2.380,3.052,39.063
0.209,0.784,0.895,-0.732,10.254,31.250
0.245,0.749,0.913,-1.648,18.616,18.433
0.259,0.731,0.933,0.977,24.231,3.845
0.230,0.723,0.935,5.981,25.696,-10.010
0.173,0.779,0.907,12.512,23.010,-21.057
0.091,0.900,0.912,18.921,20.874,-26.733
0.047,0.986,0.947,23.804,21.606,-24.597
0.055,0.971,0.988,28.564,22.217,-17.151
0.080,0.921,0.983,35.156,16.785,-6.836
0.073,0.846,0.926,39.307,3.784,1.465
0.012,0.754,0.838,41.992,-9.583,5.371
-0.118,0.578,0.764,46.265,-19.104,8.423
-0.201,0.358,0.709,51.270,-21.301,12.817
-0.162,0.211,0.654,56.274,-14.771,19.958
-0.105,0.119,0.603,58.411,-4.822,24.048
-0.022,0.059,0.579,55.420,4.456,21.790
0.028,0.076,0.567,48.096,13.733,14.465
0.067,0.086,0.608,39.734,23.437,3.296
0.145,0.105,0.658,31.921,30.334,-3.906
0.142,0.122,0.744,24.048,33.997,-7.385
0.042,0.034,0.899,16.785,34.302,-11.780
-0.046,-0.076,1.008,9.338,25.574,-11.841
-0.109,-0.120,1.042,3.906,12.329,-4.028
-0.177,-0.171,1.026,0.305,-3.784,4.028
-0.250,-0.197,0.975,-3.418,-19.836,7.935
-0.293,-0.202,0.929,-5.981,-30.334,9.766
-0.264,-0.185,0.887,-4.517,-31.311,11.047
-0.169,-0.134,0.871,-0.183,-21.362,11.719
-0.095,-0.107,0.929,2.625,-6.653,8.179
-0.057,-0.116,1.007,0.305,2.563,2.075
-0.031,-0.082,1.086,-6.165,4.639,-1.404
-0.104,-0.008,1.195,-10.986,3.418,-2.625
-0.246,-0.049,1.370,-9.827,1.953,-1.160
-0.272,-0.142,1.440,-1.221,-2.686,7.812
-0.264,-0.182,1.393,11.719,-17.700,20.813
-0.223,-0.183,1.244,23.682,-38.452,30.273
-0.202,-0.125,1.047,30.029,-53.955,31.067
-0.213,-0.074,0.895,29.297,-56.946,23.376
-0.269,-0.028,0.798,23.376,-47.363,11.719
-0.324,0.024,0.780,15.015,-29.907,0.427
-0.322,0.069,0.832,5.493,-9.033,-5.676
-0.280,0.091,0.921,-7.141,7.324,-6.409
-0.246,0.139,1.021,-20.874,14.709,-2.502
-0.262,0.179,1.145,-31.067,15.015,3.906
-0.266,0.149,1.260,-32.959,14.160,13.306
-0.202,0.100,1.309,-24.475,12.207,24.658
-0.119,0.077,1.290,-10.071,6.775,33.203
-0.073,0.053,1.238,4.944,0.671,33.936
-0.019,0.034,1.135,17.273,-4.517,29.053
0.005,0.066,1.045,23.132,-7.874,22.278
-0.028,0.096,0.981,21.606,-9.155,14.038
-0.063,0.111,0.949,13.977,-7.080,7.202
-0.062,0.134,0.936,4.883,-5.432,3.540
-0.063,0.177,0.935,-4.028,-4.822,0.854
-0.080,0.224,0.955,-10.437,-2.197,-3.174
-0.134,0.306,1.001,-12.024,2.258,-5.737
-0.175,0.337,1.049,-6.714,8.362,-4.883
-0.179,0.352,1.068,3.601,13.123,-0.427
-0.163,0.339,1.058,13.306,12.634,5.127
-0.132,0.318,1.022,18.982,6.592,10.437
-0.101,0.302,0.977,19.226,-2.014,15.564
-0.081,0.285,0.931,15.686,-9.094,18.555
-0.063,0.265,0.897,10.498,-13.611,19.226
-0.052,0.254,0.885,5.127,-15.442,18.616
-0.044,0.251,0.888,-0.122,-15.503,16.357
-0.044,0.243,0.895,-3.967,-14.099,12.451
-0.055,0.228,0.908,-6.287,-11.963,6.958
-0.071,0.220,0.899,-6.653,-10.071,1.221
-0.096,0.239,0.898,-5.920,-7.141,-3.784
-0.125,0.247,0.916,-4.639,-2.869,-8.240
-0.461,-0.733,1.747,2.197,27.954,9.338
-0.470,-0.927,1.765,8.911,21.667,17.639
-0.461,-1.114,1.733,16.113,11.353,27.649
-0.421,-1.259,1.657,20.630,-0.244,36.316
-0.366,-1.355,1.562,21.973,-11.292,41.992
-0.330,-1.442,1.446,23.804,-22.034,43.945
-0.314,-1.502,1.321,25.757,-29.358,41.931
-0.260,-1.488,1.172,28.076,-31.860,35.034
-0.150,-1.386,1.000,29.785,-29.602,22.644
-0.012,-1.210,0.806,28.442,-22.522,3.784
0.098,-0.938,0.627,23.743,-11.047,-19.348
0.164,-0.611,0.525,16.663,4.211,-42.358
0.265,-0.296,0.453,9.399,19.348,-56.458
0.414,0.055,0.391,0.732,26.001,-60.425
0.565,0.411,0.315,-10.864,17.090,-56.946
0.673,0.711,0.193,-24.719,-2.930,-52.124
0.736,0.995,0.091,-40.466,-25.818,-49.500
0.633,1.283,-0.030,-56.091,-44.373,-52.246
0.818,1.562,-0.093,-73.730,-50.354,-63.538
0.631,1.859,-0.082,-91.370,-53.284,-80.078
0.501,2.117,-0.055,-109.619,-29.785,-88.989
0.299,2.357,0.135,-123.413,4.089,-110.657
0.043,2.489,0.406,-128.906,38.696,-122.864
-0.153,2.530,0.680,-125.488,70.374,-120.728
-0.302,2.479,0.953,-115.662,83.496,-107.300
-0.335,2.387,1.178,-104.309,80.261,-82.764
-0.302,2.281,1.352,-90.393,66.528,-53.040
-0.279,2.130,1.467,-68.604,50.232,-22.461
-0.180,1.880,1.475,-35.156,35.278,5.554
-0.077,1.551,1.322,5.737,19.470,29.968
-0.003,1.337,1.141,45.044,4.700,49.133
0.147,1.071,0.864,74.219,-4.822,61.768
0.165,0.883,0.673,88.684,-12.329,67.749
0.179,0.800,0.556,85.693,-13.855,69.885
0.207,0.735,0.511,75.745,-7.080,63.354
0.226,0.684,0.507,67.749,0.549,56.396
0.254,0.679,0.541,60.120,6.775,50.842
0.237,0.713,0.597,51.025,9.460,43.579
0.211,0.741,0.684,42.053,8.911,36.804
0.236,0.747,0.757,35.767,5.554,36.194
0.246,0.736,0.800,32.104,-0.061,38.696
0.233,0.709,0.816,29.785,-7.935,39.124
0.230,0.711,0.823,27.710,-15.503,36.743
0.231,0.707,0.823,26.672,-20.264,31.860
0.192,0.680,0.812,27.222,-22.705,24.353
0.141,0.678,0.796,27.893,-23.499,15.076
0.089,0.677,0.773,28.137,-23.132,6.042
0.040,0.675,0.748,26.489,-20.874,-2.258
-0.021,0.666,0.723,23.560,-15.564,-9.460
-0.078,0.688,0.709,20.569,-8.423,-15.015
-0.123,0.674,0.711,20.325,0.305,-18.555
-0.159,0.592,0.746,23.743,9.094,-19.287
-0.154,0.493,0.754,28.748,14.954,-14.648
-0.113,0.441,0.734,32.410,16.724,-6.409
-0.099,0.381,0.738,32.349,14.832,0.549
-0.146,0.319,0.766,27.344,11.780,7.080
-0.177,0.213,0.814,21.667,9.949,14.771
-0.191,0.140,0.872,17.639,6.531,23.560
-0.155,0.080,0.901,17.822,2.441,32.104
