aX,aY,aZ,gX,gY,gZ
-0.031,-0.435,0.836,-255.493,28.015,11.230
0.189,-0.357,0.823,-207.275,29.663,34.241
0.420,-0.452,0.681,-164.551,7.080,47.791
0.556,-0.526,0.541,-145.020,-26.428,42.847
0.486,-0.580,0.397,-146.973,-57.678,23.560
0.263,-0.658,0.317,-169.800,-72.998,5.676
0.212,-0.768,0.435,-209.534,-52.063,-3.052
0.257,-0.797,0.844,-250.732,-16.052,-6.592
0.333,-0.692,1.405,-273.743,7.996,-7.751
0.418,-0.546,1.796,-259.399,11.536,-6.226
0.482,-0.448,1.891,-209.839,-6.531,-5.493
0.366,-0.409,1.749,-149.658,-34.973,-2.258
0.359,-0.764,1.471,-104.431,-55.847,5.676
0.326,-0.742,1.101,-85.632,-64.758,2.808
0.307,-0.896,1.016,-90.027,-37.964,14.587
0.384,-0.940,0.999,-110.168,-9.949,16.602
0.525,-0.895,1.118,-127.441,10.681,7.690
0.529,-0.859,1.314,-132.080,0.000,-4.639
0.415,-0.793,1.423,-117.920,-24.048,-17.517
0.265,-0.804,1.381,-89.600,-50.415,-26.184
0.095,-0.857,1.245,-62.805,-59.753,-23.621
0.037,-0.852,1.116,-47.607,-46.753,-11.719
0.125,-0.800,0.995,-41.260,-22.034,1.953
0.206,-0.792,0.863,-39.429,-2.075,9.827
0.233,-0.796,0.726,-40.833,7.202,10.315
0.219,-0.761,0.608,-45.105,8.972,9.583
0.314,-0.732,0.550,-49.805,9.460,10.132
0.449,-0.695,0.562,-54.443,1.953,5.737
0.458,-0.645,0.560,-59.326,-22.461,-7.202
0.323,-0.672,0.568,-64.697,-51.636,-23.193
0.130,-0.747,0.679,-73.914,-66.284,-33.020
0.008,-0.715,0.847,-84.412,-57.007,-32.227
0.015,-0.653,0.970,-84.961,-32.593,-20.569
0.095,-0.612,0.996,-73.364,-7.629,-4.700
0.175,-0.570,0.914,-55.908,7.874,7.080
0.244,-0.595,0.794,-41.077,13.489,13.306
0.319,-0.590,0.709,-35.767,12.207,13.550
0.353,-0.573,0.656,-38.696,1.892,7.202
0.332,-0.565,0.631,-45.105,-11.047,-2.625
0.281,-0.574,0.643,-53.772,-24.048,-10.986
0.248,-0.573,0.712,-66.223,-29.724,-18.799
0.229,-0.579,0.820,-77.637,-26.611,-25.330
0.193,-0.571,0.939,-81.848,-21.118,-29.297
0.093,-0.547,1.000,-75.684,-20.264,-29.175
0.111,-0.561,1.068,-62.683,-21.912,-25.085
0.060,-0.553,1.039,-47.363,-26.367,-18.066
0.087,-0.581,1.017,-32.471,-19.409,-9.094
0.104,-0.561,0.984,-22.522,-18.616,-3.540
0.138,-0.524,0.934,-15.442,-18.982,0.305
0.154,-0.555,0.893,-12.756,-18.799,0.305
0.117,-0.596,0.884,-16.235,-15.991,-1.770
0.089,-0.608,0.907,-22.522,-8.972,-2.075
0.099,-0.624,0.976,-26.672,-0.977,-0.793
0.122,-0.597,1.031,-24.963,4.150,0.732
0.116,-0.573,1.041,-17.151,2.686,3.296
0.112,-0.579,1.008,-6.958,-1.465,6.958
0.118,-0.556,0.963,1.892,-3.967,10.803
0.136,-0.563,0.912,7.385,-4.944,13.489
0.152,-0.565,0.880,7.629,-3.418,14.160
0.186,-0.563,0.862,5.127,-2.136,12.756
0.187,-0.577,0.841,2.136,-2.930,10.193
0.171,-0.584,0.852,-2.686,-2.930,7.690
0.131,-0.570,2.675,27.710,-6.958,-15.198
0.047,-0.581,3.209,46.997,2.319,-17.151
-0.046,-0.564,3.684,79.468,15.747,-11.353
-0.094,-0.613,3.871,130.371,33.142,6.348
-0.146,-0.651,3.712,205.750,44.128,29.419
-0.120,-0.646,3.261,281.006,43.030,48.767
-0.193,-0.619,2.736,342.896,25.940,65.369
-0.145,-0.580,2.317,379.272,17.578,73.181
-0.246,-0.507,1.964,389.038,6.653,77.942
-0.196,-0.479,1.693,388.550,10.620,84.717
-0.164,-0.468,1.498,377.197,22.461,88.379
-0.074,-0.375,1.390,361.145,39.856,88.501
0.036,-0.300,1.307,349.243,50.842,86.975
0.127,-0.296,1.230,343.140,48.462,84.412
0.096,-0.227,1.179,339.661,44.006,80.505
0.049,-0.005,1.011,341.370,46.326,78.369
0.035,0.118,0.693,350.464,54.504,82.214
0.042,0.138,0.380,356.140,70.496,90.637
0.250,0.191,0.201,350.281,91.187,90.881
0.333,0.329,0.134,335.022,102.051,86.304
0.345,0.529,-0.027,326.172,102.905,77.637
0.416,0.607,-0.203,327.698,101.563,66.772
0.506,0.667,-0.353,330.566,96.191,49.988
0.405,0.745,-0.538,327.148,76.721,27.161
0.168,0.771,-0.777,324.097,55.542,9.094
-0.075,0.787,-1.042,316.833,45.593,6.592
-0.309,0.765,-1.345,300.598,57.190,23.193
-0.357,0.753,-1.655,278.625,88.196,54.504
-0.134,0.815,-1.946,252.380,125.244,83.740
0.201,0.854,-2.173,223.267,142.212,93.384
0.334,0.836,-2.361,191.040,123.962,76.172
0.235,0.763,-2.496,155.151,78.125,41.748
0.008,0.607,-2.537,113.220,33.875,8.789
-0.253,0.436,-2.482,66.528,11.658,-10.376
-0.343,0.318,-2.324,21.667,6.775,-16.174
-0.333,0.193,-2.086,-18.066,2.563,-12.512
-0.219,0.077,-1.825,-52.551,-6.042,-4.211
-0.099,-0.035,-1.573,-81.543,-13.916,3.113
0.037,-0.145,-1.326,-104.858,-18.799,8.545
0.153,-0.205,-1.147,-120.544,-24.414,12.878
0.285,-0.262,-1.001,-131.104,-30.029,13.672
0.347,-0.335,-0.839,-139.587,-32.593,9.399
0.368,-0.381,-0.694,-145.142,-32.410,2.869
0.372,-0.376,-0.617,-143.311,-32.776,-0.610
0.368,-0.370,-0.635,-135.742,-36.377,0.244
0.376,-0.384,-0.711,-128.235,-39.063,3.296
0.371,-0.383,-0.816,-126.221,-39.307,6.592
0.369,-0.380,-0.913,-131.897,-36.987,8.667
0.355,-0.398,-0.942,-145.813,-30.945,8.179
0.349,-0.426,-0.845,-168.152,-21.118,4.456
0.351,-0.444,-0.624,-192.749,-7.141,2.380
0.391,-0.460,-0.319,-210.022,3.357,-1.221
0.395,-0.478,-0.051,-212.402,3.906,-7.812
0.389,-0.518,0.133,-199.646,-6.104,-11.414
0.323,-0.582,0.223,-179.504,-18.555,-9.094
0.318,-0.604,0.198,-158.264,-26.489,-4.883
0.329,-0.697,0.049,-143.982,-26.733,-0.854
0.397,-0.771,-0.045,-147.034,-17.090,0.977
0.443,-0.836,0.006,-164.307,-8.484,-1.648
0.367,-0.893,0.212,-188.538,-6.226,-7.507
0.296,-0.832,0.505,-204.102,-0.366,-13.489
0.281,-0.797,0.741,-196.716,3.357,-12.085
0.304,-0.763,0.815,-167.603,-0.916,-5.798
0.293,-0.758,0.709,-130.798,-13.672,2.075
0.307,-0.787,0.533,-101.746,-29.663,11.108
0.449,-0.729,0.370,-84.839,-43.701,15.625
0.554,-0.712,0.186,-83.984,-56.641,8.362
0.482,-0.782,0.053,-101.685,-59.631,-6.226
0.339,-0.757,0.028,-131.653,-54.077,-19.409
0.264,-0.725,0.101,-164.307,-42.664,-24.719
0.240,-0.725,0.291,-191.223,-23.437,-23.926
0.367,-0.653,0.578,-206.665,-9.827,-25.574
0.426,-0.526,0.770,-202.759,-16.235,-34.424
0.381,-0.549,0.805,-181.091,-44.678,-44.006
0.267,-0.605,0.759,-158.386,-76.050,-50.415
0.199,-0.754,0.704,-145.325,-94.849,-50.903
0.122,-0.687,0.658,-141.907,-98.083,-51.575
0.164,-0.575,0.634,-142.578,-96.924,-51.636
0.043,-0.626,0.543,-142.090,-91.064,-34.302
0.187,-0.706,0.568,-148.193,-67.017,-24.292
0.320,-0.627,0.736,-163.635,-58.411,-27.344
0.425,-0.506,0.905,-174.255,-61.768,-39.246
0.372,-0.475,1.013,-167.725,-85.266,-58.472
0.166,-0.558,1.025,-150.574,-115.845,-74.341
-0.177,-0.654,1.028,-135.010,-127.625,-76.904
-0.387,-0.747,1.094,-124.268,-101.746,-61.218
-0.390,-0.750,1.156,-114.197,-45.166,-32.410
-0.240,-0.684,1.191,-100.403,13.550,-0.854
0.004,-0.615,1.132,-81.970,53.162,23.926
0.260,-0.561,1.033,-63.477,61.401,33.997
0.405,-0.546,0.933,-52.734,36.987,27.283
0.360,-0.584,0.876,-55.115,-2.075,9.338
0.269,-0.589,0.946,-67.261,-35.278,-10.803
0.103,-0.615,0.998,-81.360,-52.429,-28.198
-0.010,-0.668,1.139,-92.163,-46.814,-38.635
-0.076,-0.701,1.281,-95.764,-28.931,-36.011
-0.106,-0.667,1.350,-85.205,-7.324,-23.071
-0.059,-0.625,1.292,-59.998,12.024,-5.371
0.060,-0.602,1.166,-32.959,24.719,11.780
0.127,-0.589,1.031,-12.329,22.705,22.095
0.195,-0.553,0.915,-0.061,6.836,23.254
0.233,-0.537,0.816,5.127,-7.385,16.663
0.213,-0.598,0.740,2.869,-18.311,5.737
0.122,-0.672,0.719,-9.216,-24.231,-4.211
0.070,-0.671,0.802,-29.053,-21.606,-9.338
0.045,-0.607,0.913,-45.105,-11.353,-10.132
0.059,-0.587,0.991,-48.340,0.488,-7.080
0.090,-0.595,1.051,-42.236,9.399,-3.052
0.132,-0.554,1.076,-30.762,11.230,-0.366
0.122,-0.551,1.046,-15.015,2.014,1.831
0.077,-0.571,0.989,-0.671,-8.789,4.822
0.047,-0.584,0.942,8.240,-13.977,8.789
0.046,-0.582,0.905,11.230,-12.207,13.184
0.081,-0.587,0.878,9.583,-3.845,16.418
0.112,-0.592,0.856,5.615,7.263,17.822
0.143,-0.583,0.854,0.000,14.221,17.761
0.168,-0.580,0.871,-5.310,13.794,16.296
0.187,-0.549,0.915,-9.277,10.681,11.963
0.163,-0.531,0.935,-9.399,6.104,5.920
-0.099,-0.585,2.784,59.082,-7.324,-0.244
-0.085,-0.628,3.196,86.792,9.460,8.179
-0.029,-0.656,3.594,117.432,28.503,15.320
-0.089,-0.655,3.734,156.616,37.170,20.691
-0.210,-0.651,3.548,216.675,37.292,28.809
-0.321,-0.681,3.106,285.095,36.316,44.006
-0.304,-0.696,2.592,334.900,40.283,64.026
-0.303,-0.642,2.197,356.567,48.279,80.811
-0.185,-0.583,1.881,361.084,60.730,88.562
-0.120,-0.524,1.734,354.431,64.392,89.844
0.013,-0.364,1.569,348.755,69.092,85.266
0.106,-0.311,1.422,352.356,65.735,76.782
0.019,-0.241,1.243,354.675,54.871,70.190
-0.056,-0.159,1.081,357.239,53.528,70.496
-0.142,-0.013,0.889,361.206,66.589,78.552
-0.006,0.081,0.666,367.187,85.449,92.407
0.166,0.089,0.470,366.455,102.478,99.854
0.337,0.197,0.255,358.093,106.201,93.506
0.448,0.275,0.075,349.854,96.802,83.923
0.373,0.339,-0.104,337.280,85.266,70.313
0.319,0.449,-0.271,326.721,82.947,59.326
0.328,0.525,-0.443,320.312,93.323,51.697
0.349,0.579,-0.613,315.430,99.670,44.800
0.361,0.634,-0.797,307.373,94.604,33.875
0.283,0.669,-1.009,294.800,85.876,20.264
0.238,0.685,-1.197,277.710,78.125,9.033
0.101,0.668,-1.377,253.845,69.946,2.441
0.000,0.616,-1.572,228.760,65.491,2.808
0.026,0.564,-1.711,202.698,69.092,7.141
-0.015,0.521,-1.821,175.354,70.374,8.362
-0.076,0.446,-1.912,150.513,62.256,6.836
-0.156,0.369,-1.973,124.573,49.377,5.127
-0.167,0.297,-1.991,99.976,37.109,3.784
-0.235,0.231,-1.995,76.233,21.057,1.953
-0.235,0.158,-1.965,51.758,5.127,2.930
-0.203,0.080,-1.889,24.292,-3.540,7.141
-0.098,0.016,-1.785,-4.578,-7.568,11.230
-0.070,-0.069,-1.673,-34.973,-10.681,13.000
-0.015,-0.180,-1.547,-66.406,-11.963,15.015
0.086,-0.232,-1.380,-95.276,-9.827,16.968
0.193,-0.237,-1.176,-117.126,-11.780,15.808
0.204,-0.247,-1.025,-128.357,-19.958,11.108
